name,community,ai_involvement,publication_types,derived_groups,roles_ADD_YOUR_OWN
Anne Sullivan,Wardrip-Fruin / Bernstein cluster,None,Anthology,ELC 4; ELO Keynotes + plenaries; ELO Team 2026,
Florian Cramer,Media-art / critical theory,None,Academic; Archive; Art Mag; Lit Mag,,
Jolene L. Armstrong,Fisher / Fan cluster,None,Academic,NuMeWriPri Shortlists,
Nohelia Meza,Hispanic / Iberian (Ciberia),None,Academic; Anthology; Archive,ELC 4; ELO Team 2022,
Ted Warnell,Breeze / Wilks cluster,None,Academic; Anthology; Archive; Lit Mag,ELC 3,
Steve Tomasula,Electronic Book Review axis,None,Academic; Lit Mag,,
Ava Aviva Avnisan,Smith / Małecki cluster,None,Academic; Anthology; Lit Mag,ELC 3,
Dani Spinosa,Current ELO generation,None,Academic; Lit Mag,ELO Keynotes + plenaries; ELO Team 2021; ELit Directory Team,
Claire Donato,Johnston / Hatcher cluster,None,Academic,ELO Team 2021; WordHack,
Zuzana Husárová,Johnston / Hatcher cluster,Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 3; ELC 4; ELO AWARDS,
Michael Mateas,Wardrip-Fruin / Bernstein cluster,None,Academic; Anthology; Archive; Art Mag; Lit Mag,ELC 2,
Friedrich W. Block,German / EU network (ELMCIP),None,Academic; Anthology; Archive,ELC 4; ELMCIP Project Team; ELO Keynotes + plenaries; ELit Directory Team,
Lisa Swanstrom,Electronic Book Review axis,None,Academic; Archive,ELO Team 2016; ELit Directory Team; Electronic Book Review Staff,
Jan Baetens,Electronic Book Review axis,None,Academic; Lit Mag,ELMCIP Project Team; Electronic Book Review Staff; NT2 Lab,
Lee Tusman,Computational / generative poetry,None,Academic; Anthology; Lit Mag,ELC 4; ELO AWARDS; School for Poetic Computation; WordHack,
Winnie Soon,Media-art / critical theory,None,Academic; Anthology; Archive; Art Mag; Lit Mag,ELC 3; ELC 4; ELO Exec + Lit Advisory Board; ELO Team 2021; Prix Ars Electronica - Golden Nica Winners,
Maria Angel,German / EU network (ELMCIP),Endogenous,Academic; Archive,ELit Directory Team,
David E. Millard,Wardrip-Fruin / Bernstein cluster,None,Academic,,
Jussi Parikka,Media-art / critical theory,None,Academic; Archive; Art Mag,ELO Keynotes + plenaries,
David M. Berry,Media-art / critical theory,Endogenous,Academic; Art Mag,,
Sarah Whitcomb Laiola,Berens / Whalen cluster,None,Academic; Anthology; Lit Mag,ELO Team 2024,
Kenneth Goldsmith,E-poetry / digital concrete,None,Academic; Anthology; Archive; Lit Mag,ELC 1; School for Poetic Computation,
Diogo Marques,Lusophone (MATLIT / Po.Ex),None,Academic; Anthology; Archive,ELC 4,
Gregory L. Ulmer,Net.art / listserv writing,None,Academic; Archive; Lit Mag,,
Patrick LeMieux,Media-art / critical theory,None,Academic; Archive,WordHack,
Sasha Stiles,Computational / generative poetry,Exogenous,Anthology; Art Mag; Lit Mag,ELO Keynotes + plenaries; The Verse verse,
Ian Bogost,Media-art / critical theory,None,Academic; Anthology; Archive; Art Mag,ELC 4,
